,trackName,artistName,id
0,Modern Slavery,Huncho Jack,7J6bnDDitOwfelaJNixHhL
0,Show Yourself,Idina Menzel,50WeOnXhM1H7AZEeIDoWfZ
0,Self Control,YoungBoy Never Broke Again,4vSoyDfL0uZyUoWu5NNNsQ
0,Slick Talk,JID,7j8vHxTp34MEoSDLG51sWo
0,This Is How U Feel,Loote,0yeOBIkI3whpk4n223Lpuo
0,Redbone,Childish Gambino,0wXuerDYiBnERgIpbb3JBR
0,Slow Dance In A Parking Lot,Jordan Davis,6MBUUSIWCzaXW4q58Ktrv9
0,Motorcycle Patches,Huncho Jack,7g7raxdQpiLZT7aOlib4S1
0,Don't Let Me Down - Illenium Remix,The Chainsmokers,15BlympuVSfZFROojEMY2M
0,Wormhole,Flume,0A2pSv44QouqvTdFyVpWoT
0,MAMACITA,Tyga,51wFQM8W0YfXTmHusXUr5i
0,BUTTERFLY EFFECT,Travis Scott,2cYqizR4lgvp4Qu6IQ3qGN
0,This Is Gospel,Panic! At The Disco,3yZQk5PC52CCmT4ZaTIKvv
0,Ivy,Frank Ocean,2ZWlPOoWh0626oTaHrnl2a
0,Pay No Mind (feat. Passion Pit),Madeon,3rsq3qtqNBId48c0IVraTS
